title,author,genre,length_category
The Confusion,Neal Stephenson,Fiction,long
Bridge to Terabithia (rack),Katherine Paterson,Juvenile Fiction,short
Practical Demonkeeping,Christopher Moore,Fiction,average
Island of the Sequined Love Nun,Christopher Moore,Fiction,average
The Lust Lizard of Melancholy Cove,Christopher Moore,Fiction,average
Weetzie Bat,Francesca Lia Block,Juvenile Fiction,short
Behind the Curtain,Peter Abrahams,Juvenile Fiction,average
"Catherine, Called Birdy (Summer Reading Edition)",Karen Cushman,Juvenile Fiction,average
Wicked Musical Tie-in Edition,Gregory Maguire,Fiction,long
Son of a Witch,Gregory Maguire,Fiction,average
This Rough Magic,Mary Stewart,Fiction,average
Airs Above the Ground,Mary Stewart,Fiction,average
The Mediator #5: Haunted,Meg Cabot,Juvenile Fiction,average
Beauty,Robin McKinley,Juvenile Fiction,average
Mating in Captivity,Esther Perel,Psychology,average
Forgotten New York,Kevin Walsh,Travel,average
The Dead Beat,Marilyn Johnson,Social Science,average
Charms for the Easy Life,Kaye Gibbons,Fiction,average
The Reading Group,Elizabeth Noble,Fiction,long
A Couple of April Fools,Gregory Maguire,Juvenile Fiction,average
What Christians Believe,C. S. Lewis,Religion,short
Psyche in a Dress,Francesca Lia Block,Juvenile Fiction,short
YOU: The Owner's Manual,Michael F Roizen;Mehmet C Oz,Health & Fitness,long
The Chronicles of Narnia Movie Tie-in Edition (adult),C. S. Lewis,Fiction,long
"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack)",C. S. Lewis,Juvenile Fiction,short
"The Nightmare Room, Books 1-2-3: The Nightmare Begins!",R.L. Stine,Juvenile Fiction,long
A Quick Bite,Lynsay Sands,Fiction,average
Goodnight Moon 60th Anniversary Edition,Margaret Wise Brown,Juvenile Fiction,short
Brave New World and Brave New World Revisited,Aldous Huxley,Fiction,average
The Final Solution,Michael Chabon,Fiction,short
The Cat's Pajamas,Ray Bradbury,Fiction,average
Holy Skirts,Rene Steinke,Fiction,average
Time For Kids: Butterflies!,Editors of TIME For Kids,Juvenile Nonfiction,short
A False Mirror,Charles Todd,Fiction,average
